user : 1042205775 (time,x,z,rotation)
19,2.264514,-0.858186,1.823016
22,2.264015,-0.858395,-44.676979
25,1.593182,-0.326914,-44.676979
28,-0.11353,2.723272,-44.676979
31,-0.263439,2.106318,-88.476974
34,-2.855442,2.518391,-89.676971
37,-2.855451,2.518384,-176.276978
40,-3.269574,-0.200626,-176.276978
43,-4.480045,-0.049928,-89.176979
46,-5.687894,0.029974,-25.176977
49,-7.038692,2.113902,-25.176977
52,-7.197243,5.78511,-25.176977
55,-7.505826,5.775607,-92.576973
58,-10.88865,6.244472,-92.576973
61,-10.841115,5.438488,176.623016
64,-10.627089,1.811352,176.623016
67,-10.394255,1.596641,125.522995
70,-8.851733,-0.422385,89.723007
73,-8.851733,-0.42238,-78.076988
76,-9.996007,-0.629424,-97.076996
79,-14.329663,-1.285542,-97.076996
82,-17.686815,-1.397073,-97.076996
85,-17.686829,-1.397082,-97.076996
88,-17.686848,-1.397083,-97.076996
91,-17.687653,-1.397078,-97.076996
94,-17.689175,-1.396443,-97.076996
97,-17.690741,-1.395741,-97.076996
100,-17.69191,-1.394694,-97.076996
103,-17.692633,-1.393605,-97.076996
106,-17.693363,-1.392599,-97.076996
109,-17.695507,-1.392375,-97.076996
112,-17.699135,-1.392234,-97.076996
115,-17.703228,-1.39224,-97.076996
118,-17.706766,-1.392201,-97.076996
121,-17.709608,-1.392478,-97.076996
