user : 1990887961 (x,z,rotation)
-4.17729,-0.858048,-30.841991
-4.17729,-0.858043,-30.841991
-4.177291,-0.858043,-30.841991
-4.177291,-0.858042,-30.841991
-4.177292,-0.858042,-30.841991
-4.177292,-0.858042,-30.841991
-4.177293,-0.858042,-30.841991
-4.177293,-0.858042,-30.841991
-4.177294,-0.858043,-30.841991
-4.177295,-0.858043,-30.841991
-4.177296,-0.858043,-30.841991
-4.177297,-0.858043,-30.841991
-4.177298,-0.858043,-31.241989
-4.177299,-0.858043,-31.641991
-4.177301,-0.858044,-32.041988
-4.177302,-0.858044,-32.441986
-4.177304,-0.858044,-33.041985
-4.177305,-0.858044,-33.241985
-4.177307,-0.858044,-34.241985
-4.177308,-0.858045,-34.941986
-4.17731,-0.858045,-35.541988
-4.177311,-0.858045,-35.941986
-4.177312,-0.858046,-36.341988
-4.177314,-0.858046,-36.741985
-4.177315,-0.858046,-37.241985
-4.177316,-0.858047,-38.341984
-4.177317,-0.858046,-38.841984
-4.177317,-0.858046,-39.741982
-4.177317,-0.858044,-40.241982
-4.177317,-0.858043,-40.641987
-4.177317,-0.858041,-41.041985
-4.177317,-0.85804,-41.441978
-4.177317,-0.858038,-42.141983
-4.177317,-0.858037,-42.541981
-4.177318,-0.858036,-42.941978
-4.177318,-0.858036,-43.341976
-4.177319,-0.858036,-43.741974
-4.17732,-0.858035,-44.541973
-4.17732,-0.858034,-44.841972
-4.17732,-0.858034,-44.841972
-4.177321,-0.858034,-47.641972
-4.177322,-0.858034,-48.741974
-4.177323,-0.858034,-49.541969
-4.177324,-0.858034,-50.141972
-4.177325,-0.858035,-50.741966
-4.177328,-0.858036,-50.841969
-4.17733,-0.858037,-50.841969
-4.177331,-0.858038,-51.141972
-4.177333,-0.858038,-51.441971
-4.177335,-0.858039,-51.641972
-4.177337,-0.858039,-51.841972
-4.177339,-0.85804,-52.041969
-4.177341,-0.858041,-52.441971
-4.177343,-0.858042,-52.841969
-4.177346,-0.858043,-53.741966
-4.177348,-0.858044,-54.341965
-4.177351,-0.858046,-55.141964
-4.177353,-0.858047,-56.241962
-4.177355,-0.858048,-57.441963
-4.177358,-0.858049,-58.541969
-4.17736,-0.85805,-59.741962
-4.177362,-0.858051,-60.841965
-4.177364,-0.858052,-61.841965
-4.177366,-0.858053,-62.741966
-4.177368,-0.858054,-63.141964
-4.17737,-0.858055,-63.541962
-4.177371,-0.858056,-64.241959
-4.177373,-0.858058,-65.241966
-4.177375,-0.85806,-66.341972
-4.177377,-0.858061,-68.141968
-4.177379,-0.858062,-69.041969
-4.177381,-0.858064,-69.741966
-4.177382,-0.858065,-70.14196
-4.177384,-0.858066,-70.341965
-4.177386,-0.858067,-70.341965
-4.177387,-0.858068,-70.341965
-4.177389,-0.858069,-70.341965
-4.17739,-0.85807,-70.341965
-4.177392,-0.85807,-70.341965
-4.177393,-0.858071,-70.341965
-4.177395,-0.858072,-70.341965
-4.177396,-0.858073,-70.341965
-4.177398,-0.858074,-70.341965
-4.177399,-0.858074,-70.341965
-4.1774,-0.858074,-70.341965
-4.177401,-0.858074,-70.341965
-4.177402,-0.858074,-70.341965
-4.177403,-0.858073,-70.341965
-4.177403,-0.858073,-70.341965
-4.177404,-0.858072,-70.341965
-4.177405,-0.858071,-70.341965
-4.177405,-0.858071,-70.341965
-4.177406,-0.85807,-70.14196
-4.177406,-0.858069,-69.841972
-4.177406,-0.858068,-69.541969
-4.177407,-0.858067,-68.641968
-4.177407,-0.858066,-67.741966
-4.177406,-0.858064,-66.441963
-4.177406,-0.858062,-66.441963
-4.177406,-0.85806,-62.941967
-4.177406,-0.858057,-61.141968
-4.177406,-0.858055,-59.541965
-4.177405,-0.858052,-57.74197
-4.177405,-0.85805,-57.24197
-4.177404,-0.858048,-55.441975
-4.177403,-0.858046,-54.24197
-4.177402,-0.858044,-52.641972
-4.177402,-0.858042,-51.041965
-4.177401,-0.85804,-49.441971
-4.177399,-0.858038,-47.841965
-4.177398,-0.858035,-45.441971
-4.177396,-0.858033,-44.141968
-4.177393,-0.858029,-42.541969
-4.177392,-0.858026,-41.741966
-4.177391,-0.858024,-41.441967
-4.177389,-0.858022,-41.141968
-4.177388,-0.85802,-40.941971
-4.177387,-0.858017,-40.841972
-4.177386,-0.858015,-40.841972
-4.177385,-0.858014,-40.841972
-4.177385,-0.858011,-40.841972
-4.177384,-0.85801,-40.74197
-4.177383,-0.858008,-40.841972
-4.177383,-0.858006,-41.041969
-4.177383,-0.858004,-41.441967
-4.177383,-0.858002,-43.441963
-4.177383,-0.858001,-45.541962
-4.177383,-0.858,-48.14196
-4.177384,-0.857999,-52.14196
-4.177384,-0.857998,-53.341961
-4.177384,-0.857997,-57.041965
-4.177384,-0.857996,-59.841965
-4.177385,-0.857995,-62.441963
-4.177385,-0.857994,-64.841972
-4.177386,-0.857994,-67.241966
-4.177386,-0.857993,-67.841965
-4.177387,-0.857993,-69.041969
-4.177388,-0.857992,-70.941971
-4.177389,-0.857991,-70.941971
-4.17739,-0.857991,-73.441971
-4.177392,-0.857991,-76.241974
-4.177393,-0.857991,-77.441971
-4.177394,-0.857991,-79.841972
-4.177396,-0.85799,-84.141975
-4.177397,-0.85799,-85.541969
-4.177399,-0.85799,-89.541962
-4.1774,-0.85799,-92.141968
-4.177401,-0.857989,-94.741974
-4.177402,-0.857988,-97.741966
-4.177403,-0.857988,-100.141968
-4.177404,-0.857988,-102.341965
-4.177405,-0.857987,-104.841972
-4.177406,-0.857987,-106.341972
-4.177407,-0.857987,-107.941971
-4.177408,-0.857986,-109.341965
-4.177409,-0.857986,-110.641968
-4.17741,-0.857986,-110.841965
-4.177411,-0.857985,-111.141975
-4.177412,-0.857985,-111.241966
-4.177413,-0.857985,-111.241966
-4.177413,-0.857984,-111.241966
-4.177414,-0.857983,-111.241966
-4.177415,-0.857982,-111.241966
-4.177415,-0.857977,-111.14196
-4.177415,-0.857974,-111.14196
-4.177415,-0.857972,-110.341972
-4.177415,-0.857969,-109.241974
-4.177415,-0.857967,-107.941971
-4.177415,-0.857965,-106.741966
-4.177415,-0.857963,-105.541969
-4.177415,-0.85796,-104.441971
-4.177415,-0.857958,-103.841972
-4.177415,-0.857955,-103.241966
-4.177415,-0.857953,-102.341965
-4.177415,-0.85795,-102.341965
-4.177415,-0.857947,-101.441963
-4.177416,-0.857945,-100.141968
-4.177416,-0.857942,-94.641968
-4.177416,-0.857939,-88.741974
-4.177416,-0.857936,-86.441971
-4.177416,-0.857933,-79.241966
-4.177416,-0.85793,-74.041969
-4.177416,-0.857927,-68.941971
-4.177416,-0.857924,-63.141968
-4.177416,-0.857921,-57.941967
-4.177417,-0.857919,-53.74197
-4.177417,-0.857916,-53.74197
-4.177418,-0.857914,-45.541969
-4.177418,-0.857913,-44.041973
-4.177419,-0.857911,-41.441967
-4.17742,-0.857909,-37.941975
-4.17742,-0.857908,-35.441971
-4.177421,-0.857906,-32.741974
-4.177421,-0.857904,-29.841969
-4.177422,-0.857903,-26.541971
-4.177423,-0.857901,-23.741972
-4.177423,-0.857899,-18.741974
-4.177424,-0.857898,-17.341974
-4.177425,-0.857896,-11.741974
-4.177425,-0.857894,-7.541974
-4.177425,-0.857892,-3.541975
-4.177426,-0.857891,0.558025
-4.177426,-0.857889,4.058025
-4.177427,-0.857887,8.458025
-4.177427,-0.857885,12.358025
-4.177428,-0.857882,16.658028
-4.177428,-0.85788,22.158024
-4.177429,-0.857877,26.058027
-4.17743,-0.857874,29.658026
-4.177431,-0.857871,32.558025
-4.177432,-0.857868,34.758026
-4.177433,-0.857865,36.158024
-4.177434,-0.857863,37.358025
-4.177435,-0.85786,37.458023
-4.177436,-0.857856,37.058025
-4.177437,-0.857853,36.958023
-4.177439,-0.85785,36.558022
-4.17744,-0.857847,36.158016
-4.177442,-0.857844,35.558022
-4.177443,-0.857841,35.058014
-4.177444,-0.857837,33.358017
-4.177444,-0.857834,32.65802
-4.177445,-0.85783,29.858017
-4.177446,-0.857827,28.258018
-4.177447,-0.857824,25.258017
-4.177448,-0.857818,22.958017
-4.177449,-0.857815,20.25802
-4.17745,-0.857811,17.658018
-4.177451,-0.857807,12.758018
-4.177452,-0.857804,9.558018
-4.177453,-0.8578,5.958019
-4.177453,-0.857796,1.858019
